RepoFileName,MSTopic,MSAuthor,MSService,MSProduct,MSTechnology,DevLang,H1,TopNodes,IndexSections,MVCTutorialAuditCompliancePct,MVCQuickstartAuditCompliancePct,MVCOverviewAuditCompliancePct,MVCConceptualAuditCompliancePct,MVCHow-ToAuditCompliancePct,ARMQuickstartAuditCompliancePct
articles/data-factory/includes/data-factory-file-format.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-data-flow-preview.md,include,kromerm,data-factory,,,,,,,,,,,,
articles/data-factory/includes/appliesto-adf-asa-sqldb-sqlmi.md,,,,,,,,,,,,,,,
articles/data-factory/includes/appliesto-xxx-asa-md.md,,,,,,,,,,,,,,,
articles/data-factory/includes/appliesto-adf-xxx-md.md,,,,,,,,,,,,,,,
articles/data-factory/v1/includes/data-factory-type-repeatability-for-sql-sources.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/v1/includes/data-factory-transformation-activities.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-v2-supported-data-stores.md,include,jianleishen,data-factory,,,,,,,,,,,,
articles/data-factory/v1/includes/data-factory-supported-sources.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/domain-and-outbound-port-requirements-internal.md,include,lle,data-factory,,,,,,,,,,,,
articles/data-factory/v1/includes/data-factory-supported-sinks.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/domain-and-outbound-port-requirements-external.md,include,lle,data-factory,,,,,,,,,,,,
articles/data-factory/v1/includes/data-factory-supported-data-stores.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/v1/includes/data-factory-structure-for-rectangular-datasets.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-flow-preamble.md,include,susabat,data-factory,,,,,,,,,,,,
articles/data-factory/v1/includes/data-factory-file-system-source.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-v2-file-sink-formats.md,include,jianleishen,data-factory,,,,,,,,,,,,
articles/data-factory/includes/domain-and-outbound-port-requirements.md,include,abnarain,data-factory,,,,,,,,,,,,
articles/data-factory/v1/includes/data-factory-azure-storage-linked-services.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-v2-supported-data-stores-for-lookup-activity.md,include,jianleishen,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-v2-integration-runtime-requirements.md,include,jianleishen,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-v2-file-formats.md,include,jianleishen,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-v2-connector-overview.md,include,jianleishen,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-v2-connector-get-started.md,include,jianleishen,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-quickstart-prerequisites.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-quickstart-verify-output-cleanup.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/data-factory-create-install-integration-runtime.md,include,jingwang,data-factory,,,,,,,,,,,,
articles/data-factory/includes/appliesto-adf-asa-md.md,,,,,,,,,,,,,,,
articles/data-factory/connector-amazon-redshift.md,conceptual,jianleishen,data-factory,,,,# Copy data from Amazon Redshift using Azure Data Factory or Synapse Analytics,"How-to guides/Connectors",,,,,100,,0
articles/data-factory/concepts-data-flow-expression-builder.md,conceptual,makromer,data-factory,,,,# Build expressions in mapping data flow,"Concepts/Data flows/Transform data with mapping data flows",,,,,67,,0
articles/data-factory/concepts-data-flow-flowlet.md,conceptual,joowen,data-factory,,,,# Flowlets in mapping data flow,"Concepts/Data flows/Transform data with mapping data flows",,,,,0,,0
articles/data-factory/connector-google-bigquery.md,conceptual,jianleishen,data-factory,,,,# Copy data from Google BigQuery using Azure Data Factory or Synapse Analytics,"How-to guides/Connectors",,,,,67,,0
articles/data-factory/concepts-pipeline-execution-triggers.md,conceptual,weetok,data-factory,,,,# Pipeline execution and triggers in Azure Data Factory or Azure Synapse Analytics,"Concepts",,,,,67,,0
articles/data-factory/connector-google-adwords.md,conceptual,jianleishen,data-factory,,,,# Copy data from Google AdWords using Azure Data Factory or Synapse Analytics,"How-to guides/Connectors",,,,,67,,0
articles/data-factory/connector-azure-data-lake-store.md,conceptual,jianleishen,data-factory,,,,# Copy data to or from Azure Data Lake Storage Gen1 using Azure Data Factory or Azure Synapse Analytics,"How-to guides/Connectors",,,,,67,,0
articles/data-factory/connector-azure-cosmos-db-mongodb-api.md,conceptual,jianleishen,data-factory,,,,# Copy data to or from Azure Cosmos DB's API for MongoDB using Azure Data Factory or Synapse Analytics,"How-to guides/Connectors",,,,,67,,0
articles/data-factory/connector-amazon-rds-for-sql-server.md,conceptual,jianleishen,data-factory,,,,# Copy data from Amazon RDS for SQL Server by using Azure Data Factory or Azure Synapse Analytics,"How-to guides/Connectors",,,,,100,,0
articles/data-factory/connector-azure-cosmos-db.md,conceptual,jianleishen,data-factory,,,,# Copy and transform data in Azure Cosmos DB (SQL API) by using Azure Data Factory,"How-to guides/Connectors",,,,,67,,0
articles/data-factory/v1/data-factory-faq.yml,conceptual,weetok,data-factory,,,,,,,,,,,,
articles/data-factory/ssis-integration-runtime-ssis-activity-faq.yml,conceptual,sawinark,data-factory,,,,,,,,,,,,
articles/data-factory/frequently-asked-questions.yml,conceptual,susabat,data-factory,,,,,,,,,,,,
articles/data-factory/TOC.yml,,,,,,,,,,,,,,,
articles/data-factory/ci-cd-github-troubleshoot-guide.md,troubleshooting,susabat,data-factory,,,,# Troubleshoot CI-CD, Azure DevOps, and GitHub issues in Azure Data Factory and Synapse Analytics ,"How-to guides/Troubleshooting guides",,22,33,33,33,33,0
articles/data-factory/v1/toc.yml,,,,,,,,,,,,,,,
articles/data-factory/breadcrumb/toc.yml,,,,,,,,,,,,,,,
articles/data-factory/v1/data-factory-data-management-gateway-high-availability-scalability.md,conceptual,abnarain,data-factory,,,,# Data Management Gateway - high availability and scalability (Preview),,,,,,67,,0
articles/data-factory/tutorial-deploy-ssis-packages-azure.md,tutorial,sawinark,data-factory,,,,# Provision the Azure-SSIS integration runtime in Azure Data Factory,"Tutorials/Run SSIS packages in Azure","tutorial",85,,,,,0
articles/data-factory/whitepapers.md,conceptual,yexu,data-factory,,,,# Azure Data Factory whitepapers ,"Resources","reference",,,,0,,0
